Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref12,cid4642019,Artifacts,Art,"Baxter Street. New York, NY, Illustration of Baxter Street",Illustration of Baxter Street,,,Baxter Street,"New York, NY",1861,Drawer,Mixed materials,Judaica Americana,Folder,NYC 800,doc_ja_nyc_800_1r.tif; doc_ja_nyc_800_1v.tif
ref13,cid4642018,Artifacts,Art,"Benjamin, Judah P. United States, Engraved picture of Judah P. Benjamin, a confidant of Jefferson Davis","Engraved picture of Judah P. Benjamin, a confidant of Jefferson Davis","Benjamin, Judah P.",,,United States,1864,Drawer,Mixed materials,Judah Benjamin,Folder,31,doc_jb_31_1r.tif; doc_jb_31_1v.tif
ref14,cid4642017,Artifacts,Art,"Benjamin, Judah P. United States, Printed picture of Judah P. Benjamin, a confidant of Jefferson Davis","Printed picture of Judah P. Benjamin, a confidant of Jefferson Davis","Benjamin, Judah P.",,,United States,1864,Drawer,Mixed materials,Judah Benjamin,Folder,30,doc_jb_30_1r.tif; doc_jb_30_1v.tif
ref15,cid4642016,Artifacts,Art,"Cohen, Mary M. and Elmaleh, Leon H. Philadelphia, PA, New Year's card signed by Mary M. Cohen and Rev. Leon H. Elmaleh",New Year's card signed by Mary M. Cohen and Rev. Leon H. Elmaleh,"Cohen, Mary M.","Elmaleh, Leon H.",,"Philadelphia, PA",1900,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 232,doc_ja_phil_232_1r.tif; doc_ja_phil_232_1v.tif; doc_ja_phil_232_2r.tif; doc_ja_phil_232_2v.tif; doc_ja_phil_232_3r.tif; doc_ja_phil_232_3v.tif; doc_ja_phil_232_4r.tif; doc_ja_phil_232_4v.tif; doc_ja_phil_231_1r.tif; doc_ja_phil_231_1v.tif
ref16,cid4642015,Artifacts,Art,"Cowan and Murray, George. United States, New Year's Card",New Year's Card,Cowan,"Murray, George",,United States,1900,Drawer,Mixed materials,Judaica Americana,Folder,NYC 984,doc_ja_nyc_984_1r.tif; doc_ja_nyc_984_1v.tif; doc_ja_nyc_984_2r.tif; doc_ja_nyc_984_2v.tif
ref17,cid4642014,Artifacts,Art,"De Young, Isaac. Philadelphia, PA, Leaf from a book with an advertising lithograph print of Isaac D'Young's fancy store",Leaf from a book with an advertising lithograph print of Isaac D'Young's fancy store,"De Young, Isaac",,,"Philadelphia, PA",1820,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 45,doc_ja_phil_45_1r.tif; doc_ja_phil_45_1v.tif
ref18,cid4642013,Artifacts,Art,"Eybeschutz, Jonathan. Altona, Germany, Copper engraving entitled ""Portrait of Rabbi Jonathan ben Nathan Eybeschütz (1690-1764)"", designed by Wilhelm Kleinhard and engraved by Johann Balzer","Copper engraving entitled ""Portrait of Rabbi Jonathan ben Nathan Eybeschütz (1690-1764)"", designed by Wilhelm Kleinhard and engraved by Johann Balzer","Eybeschutz, Jonathan",,,"Altona, Germany",1773,Drawer,Mixed materials,Gratz Family,Folder,78,doc_gf_78_1r.tif; doc_gf_78_1v.tif
ref19,cid4642012,Artifacts,Art,"Fecit, Alex Edouard.",,"Fecit, Alex Edouard",,,,1840 October 18,Box,Mixed materials,1,Object,4,bx1_4_1r.tif; bx1_4_1v.tif
ref20,cid4642011,Artifacts,Art,"Finkelstein, M. J. and Schwartz, E. Brooklyn, NY, Hew Year's card sent to Mr. and Mrs. E Schwartz by M. J. Finkelstein",Hew Year's card sent to Mr. and Mrs. E Schwartz by M. J. Finkelstein,"Finkelstein, M. J.","Schwartz, E.",,"Brooklyn, NY",1932,Drawer,Mixed materials,Judaica Americana,Folder,NYC 979,doc_ja_nyc_979_1r.tif; doc_ja_nyc_979_1v.tif; doc_ja_nyc_979_2r.tif; doc_ja_nyc_979_2v.tif
ref21,cid4642010,Artifacts,Art,"Fisher, A.J. New York, NY, Antisemitic caricature of a banker",Antisemitic caricature of a banker,"Fisher, A.J.",,,"New York, NY",undated,Drawer,Mixed materials,Judaica Americana,Folder,NYC 741,doc_ja_nyc_741_1r.tif; doc_ja_nyc_741_1v.tif
ref22,cid4642009,Artifacts,Art,"Gelb, M. J. St. Louis, MO, A Yortzite calendar in a superb Jewish American folk art form. Rendered in watercolor by M.J. Gelb. Commissioned by the son of the deceased Marcus Blatt in 1919",A Yortzite calendar in a superb Jewish American folk art form. Rendered in watercolor by M.J. Gelb. Commissioned by the son of the deceased Marcus Blatt in 1919,"Gelb, M. J.",,,"St. Louis, MO",1919,Drawer,Mixed materials,Leeser,Folder,International,
ref23,cid4642008,Artifacts,Art,"Gratz, Hyman. Philadelphia, PA, Portrait of Hyman Gratz in a distinguished pose sitting in a chair, done by Levytype Co., Philadelphia, PA","Portrait of Hyman Gratz in a distinguished pose sitting in a chair, done by Levytype Co., Philadelphia, PA","Gratz, Hyman",,,"Philadelphia, PA",1880,Box,Mixed materials,4,Object,4e,bx4_4e_1r.tif; bx4_4e_1v.tif
ref24,cid4642007,Artifacts,Art,"Haye Olam and Orphan Kitche. Jerusalem, Palestine",,,,Haye Olam and Orphan Kitche,"Jerusalem, Palestine",1900,Drawer,Mixed materials,Binder B,Folder,41,lbr_fb_s41_1r.tif; lbr_fb_s41_1v.tif
ref25,cid4642006,Artifacts,Art,"Hayes, Isaac Israel. Philadelphia, PA, Lithograph of Satterlee Unites States General Hospital, West Philadelphia, printed in color by Charles Magnus, and published by James D. Gay, 1864. Lists Dr. Isaac Israel Hayes","Lithograph of Satterlee Unites States General Hospital, West Philadelphia, printed in color by Charles Magnus, and published by James D. Gay, 1864. Lists Dr. Isaac Israel Hayes","Hayes, Isaac Israel",,,"Philadelphia, PA",1864,Box,Mixed materials,2,Object,6,bx2_6_1r.tif; bx2_6_1v.tif
ref26,cid4642005,Artifacts,Art,"Ingersoll, T. W. Jerusalem, Stereograph of the inside of the Jaffa Gate in Jerusalem",Stereograph of the inside of the Jaffa Gate in Jerusalem,"Ingersoll, T. W.",,,Jerusalem,undated,Drawer,Mixed materials,International,Folder,12,doc_in_12_1r.tif; doc_in_12_1v.tif
ref27,cid4642004,Artifacts,Art,"Isaacs and Sons. New York, NY, Front: Ink drawing of an old street. All the houses are pawn shops, including ""Isaacs and Sons' Pawn Brokers."" Back: ""Hocking valley was unusually quiet. Wall street report."" Signed T.M.F","Front: Ink drawing of an old street. All the houses are pawn shops, including ""Isaacs and Sons' Pawn Brokers."" Back: ""Hocking valley was unusually quiet. Wall street report."" Signed T.M.F",,,Isaacs and Sons,"New York, NY",1890,Drawer,Mixed materials,Judaica Americana,Folder,NYC 740,doc_ja_nyc_740_1r.tif; doc_ja_nyc_740_1v.tif
ref28,cid4642003,Artifacts,Art,"Jennings, London. , Illustration of of the court of a Jew's house at Tetuan",Illustration of of the court of a Jew's house at Tetuan,"Jennings, London",,,,undated,Drawer,Mixed materials,Montefiore,Folder,24,doc_mnt_24_1r.tif; doc_mnt_24_1v.tif
ref29,cid4642002,Artifacts,Art,"Keen, A. , Illustration of a couple moving. Includes several signatures",Illustration of a couple moving. Includes several signatures,"Keen, A.",,,,1939 May 25,Folder,Mixed materials,Binder J,Page,6,lbr_fj_s6_1r.tif; lbr_fj_s6_1v.tif
