	Jonathan Edwards	Benjamin Franklin	George Washington	James Logan	John Adams	Massachusetts Bay Colony	Richard Mather	Thomas Jefferson	William Byrd
A Arlenius	0	0	0	0.1	0	0	0	0	0
Aaron ha-Levi.	0	0	0	0	0	0	0.1	0	0
Abiel Holmes	0	0	0	0	0.1	0	0	0	0
Abraham Godwin	0	0	0.1	0	0	0	0	0	0
Adrian Van Sinderen	0	0	0	0	0	0	0.1	0	0
Adrien TurneÌ€be	0	0	0	0.1	0.1	0	0	0	0
"Albert le Grand, saint)"	0	0	0	0	0	0	0.1	0	0
Alexander Cruden	0	0	0	0	0.1	0	0	0.1	0
Alexander Rowley	0.1	0	0	0	0	0	0	0	0
Alhazen	0	0	0	0.1	0	0	0	0	0
Ali UfkiÌ‚	0	0	0	0.1	0	0	0	0	0
Amos Doolittle	0	0	0.1	0	0	0	0	0	0
AndreÌÅ Morelli	0	0.1	0	0.1	0	0	0	0	0
AndreÌÅ Rivet	0	0	0	0	0	0	0.1	0	0
Andrew Sall	0	0	0	0	0	0	0	0.1	0
Anna Maria van Schurman	0	0	0	0.1	0	0	0	0	0
"Anquetil-Duperron, M."	0	0.2	0	0	0	0	0	0	0
Anthony Blackwall	0	0	0	0	0.1	0	0	0.1	0
Anthony Purver	0	0.1	0	0	0	0	0	0	0
Antoine GueÌÅneÌÅe	0	0	0	0	0.1	0	0	0	0
Antoine Urbain Coustelier	0	0	0	0.1	0	0	0	0	0
Antoine VitreÌÅ	0	0	0	0.1	0	0	0	0	0
Anton Friedrich BuÌˆsching	0	0	0	0	0	0	0	0.1	0
Anton Reuchlin	0	0	0	0	0	0	0.1	0	0
Antonius van Dale	0	0	0	0	0	0	0	0.1	0
Archibald Campbell	0	0	0	0	0	0	0	0.1	0
Aristotle.	0	0	0	0	0.1	0	0.1	0	0
Arthur Ashley Sykes	0	0	0	0	0	0	0	0.1	0
Arthur Johnston	0	0	0	0	0	0	0	0.2	0
August Friedrich Pfeiffer	0	0	0	0	0	0	0	0.1	0
Augustin Lubin	0	0	0	0.1	0	0	0	0	0
"Augustus Henry Fitzroy Grafton, Duke of"	0	0	0	0	0.1	0	0	0	0
Bar Hebraeus	0	0	0	0.2	0	0	0	0	0
BartheÌÅlemy d' Herbelot	0	0	0	0.1	0	0	0	0	0
Benedictus de Spinoza	0	0	0	0.1	0	0	0	0.1	0
Benito Arias Montano	0	0	0	0	0	0	0.2	0.1	0.2
Benjamin Franklin	0	0	0	0	0	0	0	0.1	0
Benjamin Gorton	0	0	0	0	0	0	0	0.2	0
Benjamin Tooke	0	0	0	0.1	0	0	0	0	0
Bernard de Montfaucon	0	0	0	0.2	0	0	0	0	0.1
"Berosus, the Chaldean."	0	0	0	0	0	0	0	0.1	0
Bonaventure Corneille Bertram	0	0	0	0.1	0	0	0	0	0
Brian Walton	0	0	0	0.2	0	0	0	0	0
British and Foreign Bible Society.	0	0	0	0	0	0	0	0.1	0
Caesar Longinus	0	0	0	0	0	0	0.1	0	0
Caleb Alexander	0	0	0	0	0	0	0	0.1	0
Carl von LinneÌÅ	0	0.1	0	0	0	0	0	0	0
Carmine Santoro	0	0.1	0	0	0	0	0	0	0
Caspar Bauhin	0	0	0	0.1	0	0	0	0	0
Charles Blount	0	0	0	0	0	0	0	0.1	0
Charles Dilly	0	0	0.1	0	0	0	0	0	0
Charles FrancÌ§ois Saboureux de la Bonnetrie	0	0	0	0	0	0	0	0.1	0
Charles Patin	0	0	0	0.1	0	0	0	0	0
Charles Richard Webster	0	0	0	0	0	0	0	0.1	0
Charles Robustel	0	0	0	0.1	0	0	0	0	0
Charles Thomson	0	0	0	0	0	0	0	0.1	0
"Charles Wolseley, Sir"	0	0	0	0	0	0	0.1	0	0
Charles-Marie de Veil	0	0.1	0	0	0	0	0	0	0
Christian Raue	0	0	0	0	0	0	0.1	0	0
Christian Wolff	0	0	0	0.2	0	0	0	0	0
