Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators,,,,,
ref168,cid4641868,Documents,Advertisement,"Froham, Daniel. New York, NY, Advertisement for a play, The Wife, at the Lyceum Theatre","Advertisement for a play, The Wife, at the Lyceum Theatre",,,"Froham, Daniel","New York, NY",1885,Drawer,Mixed materials,Judaica Americana,Folder,NYC 823,doc_ja_nyc_823_1r.tif; doc_ja_nyc_823_1v.tif,,,vertisement,,"Froham, Daniel"
ref169,cid4641867,Documents,Advertisement,"Isaac D. Sailer. Philadelphia, PA, Price list for cigars",Price list for cigars,,,Isaac D. Sailer,"Philadelphia, PA",undated,Drawer,Mixed materials,Billhead Post-1880,Folder,PHIL 783,doc_bhl_phil_783_1r.tif; doc_bhl_phil_783_1v.tif; doc_bhl_phil_783_2r.tif; doc_bhl_phil_783_2v.tif,,,,Advertisement,
ref170,cid4641866,Documents,Advertisement,"Isaac D. Sailer. Philadelphia, PA, Advertisement for cigars",Advertisement for cigars,,,Isaac D. Sailer,"Philadelphia, PA",undated,Drawer,Mixed materials,Billhead Post-1880,Folder,PHIL 789,doc_bhl_phil_789_1r.tif; doc_bhl_phil_789_1v.tif; doc_bhl_phil_790_1r.tif; doc_bhl_phil_790_1v.tif; doc_bhl_phil_791_1r.tif; doc_bhl_phil_791_1v.tif; doc_bhl_phil_792_1r.tif; doc_bhl_phil_792_1v.tif; doc_bhl_phil_793_1r.tif; doc_bhl_phil_793_1v.tif; doc_bhl_phil_794_1r.tif; doc_bhl_phil_794_1v.tif,,,,Advertisement,
ref171,cid4641865,Documents,Advertisement,"M. Siegel and Peixotto & Silverman. San Francisco, CA, Advertisement for merchant tailor",Advertisement for merchant tailor,,,M. Siegel,"San Francisco, CA",1890,Drawer,Mixed materials,Billhead Post-1880,Folder,SF 100,doc_bhl_sf_100_1r.tif; doc_bhl_sf_100_1v.tif; doc_bhl_sf_101_1r.tif; doc_bhl_sf_101_1v.tif; doc_bhl_sf_102_1r.tif; doc_bhl_sf_102_1v.tif,,,,Advertisement,
ref172,cid4641864,Documents,Advertisement,"Max Shirpser Jewelry Co. San Francisco, CA",,,,Max Shirpser Jewelry Co.,"San Francisco, CA",undated,Drawer,Mixed materials,Billhead Post-1880,Folder,SF 105,doc_bhl_sf_105_1r.tif; doc_bhl_sf_105_1v.tif,,,,Advertisement,
ref173,cid4641863,Documents,Advertisement,"Moss. Philadelphia, PA, Image of Moss Upholsterer shop",Image of Moss Upholsterer shop,,,Moss,"Philadelphia, PA",1820,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 189,doc_ja_phil_189_1r.tif; doc_ja_phil_189_1v.tif,,,,Advertisement,
ref175,cid4641862,Documents,Billheads,"A. Bacharach & Co. Philadelphia, PA, Receipt for suits",Receipt for suits,,,A. Bacharach & Co.,"Philadelphia, PA",1896 April 21,Folder,Mixed materials,Binder K,Page,30b,lbr_fk_s30b_1r.tif; lbr_fk_s30b_1v.tif,,,,Billheads,
ref176,cid4641861,Documents,Billheads,"A. Bacharach & Co. Philadelphia, PA, Receipt for suits",Receipt for suits,,,A. Bacharach & Co.,"Philadelphia, PA",1896 February 4,Folder,Mixed materials,Binder K,Page,33a,lbr_fk_s33a_1r.tif; lbr_fk_s33a_1v.tif,,,,Billheads,
ref177,cid4641860,Documents,Billheads,"A. Bacharach & Co. Philadelphia, PA, Three bills for A. Bacharach and Co. Wholesale Clothiers: Dealers in Cloths, Cassimeres and Tailors' Trimmings","Three bills for A. Bacharach and Co. Wholesale Clothiers: Dealers in Cloths, Cassimeres and Tailors' Trimmings",,,A. Bacharach & Co.,"Philadelphia, PA",1896,Folder,Mixed materials,Binder K,Page,30a,lbr_fk_s30a_1r.tif; lbr_fk_s30a_1v.tif,,,,Billheads,
ref178,,Documents,Billheads,"A. Levy & Brother. New York, NY, Bill for A. Levy and Brother Youth's Clothing",Bill for A. Levy and Brother Youth's Clothing,,,A. Levy & Brother,"New York, NY",1883 October 12,,,,,,doc_bhl_nyc_562_1r.tif; doc_bhl_nyc_562_1v.tif,,,,Billheads,
ref179,cid4641859,Documents,Billheads,"A. S. Rosenthal Co. New York, NY",,,,A. S. Rosenthal Co.,"New York, NY",1887 December 3,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 693,doc_bhl_nyc_693_1r.tif; doc_bhl_nyc_693_1v.tif,,,,Billheads,
ref180,cid4641858,Documents,Billheads,"A. Wile & Bro. Grenada, MS, Invoice for slaves",Invoice for slaves,,,A. Wile & Bro.,"Grenada, MS",1858 December 28,Drawer,Mixed materials,Billheads Pre-1880,Folder,MS 933,doc_bhe_ms_933_1r.tif; doc_bhe_ms_933_1v.tif,,,,Billheads,
ref181,cid4641857,Documents,Billheads,"A.J. Plate & Co. San Fransico, CA, Bill for rifle and ammunition",Bill for rifle and ammunition,,,A.J. Plate & Co.,"San Francisco, CA",1877 November 29,Drawer,Mixed materials,Judaica Americana,Folder,CA 331,doc_ja_ca_331_1r.tif; doc_ja_ca_331_1v.tif,,,,Billheads,
ref182,cid4641856,Documents,Billheads,"Aaron and Rheinstein. Wilmington, NC",,,,Aaron and Rheinstein,"Wilmington, NC",1885 July 1,Drawer,Mixed materials,Billheads Post-1880,Folder,NC 712,doc_bhl_nc_712_1r.tif; doc_bhl_nc_712_1v.tif,,,,Billheads,
ref183,cid4641855,Documents,Billheads,"Aaron, W. H. Patton, PA",,"Aaron, W. H.",,,"Patton, PA",1876 October 14,Drawer,Mixed materials,Billheads Pre-1880,Folder,PI 2079,doc_bhe_pi_2079_1r.tif; doc_bhe_pi_2079_1v.tif,,,,Billheads,"Aaron, W. H."
