Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref2134,cid4639919,Documents,Letters,"A. Kuhn & Bro. Evanston, WA, Letter with dusiness title quoting a price for 300 black tail dear and 50 beaver skins for the dealer A. Kuhn and Bro",Letter with dusiness title quoting a price for 300 black tail dear and 50 beaver skins for the dealer A. Kuhn and Bro,,,A. Kuhn & Bro.,"Evanston, WA",1874 July 16,Drawer,Mixed materials,Billheads Pre-1880,Folder,WA 3046,doc_bhe_wa_3046_1r.tif; doc_bhe_wa_3046_1v.tif
ref2135,cid4639918,Documents,Letters,"A. Kuhn & Bro. Ogden, UT, Bill for A. Carter",Bill for A. Carter,,,A. Kuhn & Bro.,"Ogden, UT",1879 July 2,Drawer,Mixed materials,Billhead Pre-1880,Folder,UT 3033,doc_bhe_ut_3033_1r.tif; doc_bhe_ut_3033_1v.tif
ref2136,cid4639917,Documents,Letters,"Adler, A. St. Joseph, MO, Letter from A. Adler and Co. Distillers and wholesale liquor dealers",Letter from A. Adler and Co. Distillers and wholesale liquor dealers,"Adler, A.",,,"St. Joseph, MO",1876 November 17,Drawer,Mixed materials,Billheads Pre-1880,Folder,MO 948,doc_bhe_mo_948_1r.tif; doc_bhe_mo_948_1v.tif
ref2137,cid4639916,Documents,Letters,"Adler, S. and Furst, A. St. Joseph, MO, Letter from A. Furst and Co. Wholesale liquor dealers",Letter from A. Furst and Co. Wholesale liquor dealers,"Adler, S.","Furst, A.",,"St. Joseph, MO",1877 July 10,Drawer,Mixed materials,Billheads Pre-1880,Folder,MO 940,doc_bhe_mo_940_1r.tif; doc_bhe_mo_940_1v.tif
ref2138,cid4639915,Documents,Letters,"Adler, S. and Furst, A. St. Joseph, MO, Letter from A. Furst and Co. Wholesale liquor dealers",Letter from A. Furst and Co. Wholesale liquor dealers,"Adler, S.","Furst, A.",,"St. Joseph, MO",1879 August 14,Drawer,Mixed materials,Billheads Pre-1880,Folder,MO 947,doc_bhe_mo_947_1r.tif; doc_bhe_mo_947_1v.tif
ref2139,cid4639914,Documents,Letters,"Akin, L. T. Amsterdam, Netherlands, Letter from L.T. Akin to his brother regarding a ship bound for Philadelphia",Letter from L.T. Akin to his brother regarding a ship bound for Philadelphia,"Akin, L. T.",,,"Amsterdam, Netherlands",1820 July 19,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 120,doc_ja_phil_120_1r.tif; doc_ja_phil_120_1v.tif; doc_ja_phil_120_2r.tif; doc_ja_phil_120_2v.tif
ref2140,cid4639913,Documents,Letters,"Asch, Sholem. Stamford, CT, Signed letter thanking Marshall Anspach for a book",Signed letter thanking Marshall Anspach for a book,"Asch, Sholem",,,"Stamford, CT",1943 October 28,Folder,Mixed materials,Binder M,Page,26,lbr_fm_s26b_1r.tif; lbr_fm_s26b_1v.tif; lbr_fm_s26a_1r.tif; lbr_fm_s26a_1v.tif
ref2141,cid4639912,Documents,Letters,"Ashim, S. Eureka, NV, S. Ashim and Brother, dealers of general merchandise. Letter ordering merchandise","S. Ashim and Brother, dealers of general merchandise. Letter ordering merchandise","Ashim, S.",,,"Eureka, NV",1875 October 8,Drawer,Mixed materials,Judaica Americana,Folder,NV 293,doc_ja_nv_293_1r.tif; doc_ja_nv_293_1v.tif
ref2142,cid4639911,Documents,Letters,"Bachman, Felix and Cohn, B. New Orleans, LA, Personal letter in German. Mentions a Mr. Hirsh, Mrs. Mandelbaum and Bruslin Herman","Personal letter in German. Mentions a Mr. Hirsh, Mrs. Mandelbaum and Bruslin Herman","Bachman, Felix","Cohn, B.",,"New Orleans, LA",1846 November 17,Drawer,Mixed materials,Judaica Americana,Folder,LA 126,doc_ja_la_126_1r.tif; doc_ja_la_126_1v.tif
ref2143,cid4639910,Documents,Letters,"Balke. Chicago, IL, Commercial letter to bank, with an advertising letterhead for the Brunswick-Balke-Collender Co.: Billiard and Pool Tables","Commercial letter to bank, with an advertising letterhead for the Brunswick-Balke-Collender Co.: Billiard and Pool Tables",Balke,,,"Chicago, IL",1891 June 17,Drawer,Mixed materials,Billheads Post-1880,Folder,IL 194,doc_bhl_il_194_1r.tif; doc_bhl_il_194_1v.tif
ref2144,cid4639909,Documents,Letters,"Baltimore Bargain House. Baltimore, MD, Bill from Jacob Epstein",Bill from Jacob Epstein,,,Baltimore Bargain House,"Baltimore, MD",1903 June 9,Drawer,Mixed materials,Billhead Post-1880,Folder,MD 301,doc_bhl_md_301_1r.tif; doc_bhl_md_301_1v.tif
