Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref3882,cid4638182,Photographic images,Cartes-de-visite,"Abrahams, Mary. Philadelphia, PA, Mary Abrahams (Mrs. Berg): Daughter of Harriette DeYoung by Wenderroth and Taylor",Mary Abrahams (Mrs. Berg): Daughter of Harriette DeYoung by Wenderroth and Taylor,"Abrahams, Mary",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,4,lbr_fq_s4_3r.tif; lbr_fq_s4_3v.tif
ref3883,cid4638181,Photographic images,Cartes-de-visite,"Beilmer, Mr. New York, NY, Card-de-visite, with full ad on back for Bogardus","Card-de-visite, with full ad on back for Bogardus","Beilmer, Mr.",,,"New York, NY",1875,Folder,Mixed materials,Binder Q,Page,3,lbr_fq_s3_4r.tif; lbr_fq_s3_4v.tif
ref3884,cid4638180,Photographic images,Cartes-de-visite,"Beilmer, Mrs. New York, NY, Card-de-visite, with full ad on back for Bogardus and Bendann Brothers","Card-de-visite, with full ad on back for Bogardus and Bendann Brothers","Beilmer, Mrs.",,,"New York, NY",1875,Folder,Mixed materials,Binder Q,Page,2,lbr_fq_s2_1r.tif; lbr_fq_s2_1v.tif
ref3885,cid4638179,Photographic images,Cartes-de-visite,"Benjamin, Judah P. London, England, Photograph of Judah Benjamin in barrister's wig and robes",Photograph of Judah Benjamin in barrister's wig and robes,"Benjamin, Judah P.",,,"London, England",undated,Drawer,Mixed materials,Judah Benjamin,Folder,37,doc_jb_37_1r.tif; doc_jb_37_1v.tif
ref3886,cid4638178,Photographic images,Cartes-de-visite,"Benjamin, Judah P. United States, Carte-de-visite, taken from life and very scarce","Carte-de-visite, taken from life and very scarce","Benjamin, Judah P.",,,United States,1860,Drawer,Mixed materials,Judah Benjamin,Folder,35,doc_jb_35_1r.tif; doc_jb_35_1v.tif
ref3887,cid4638177,Photographic images,Cartes-de-visite,"Carvalho, David Nunes. Baltimore, MD, Full bust and signed photo of David Nunes Carvalho (1849.1925) taken by the Jewish photographer Bendann Brothers in Baltimore, Maryland","Full bust and signed photo of David Nunes Carvalho (1849.1925) taken by the Jewish photographer Bendann Brothers in Baltimore, Maryland","Carvalho, David Nunes",,,"Baltimore, MD",1875,Drawer,Mixed materials,Judaica Americana,Folder,MD 168MD 168,doc_ja_md_168_1r.tif; doc_ja_md_168_1v.tif
ref3888,cid4638176,Photographic images,Cartes-de-visite,"Carvalho, Solomon Nunes. Baltimore, MD, Three quarter view carte-de-visite of S.N. Carvalho in his later years done by Bendann Brothers",Three quarter view carte-de-visite of S.N. Carvalho in his later years done by Bendann Brothers,"Carvalho, Solomon Nunes",,,"Baltimore, MD",1860,Drawer,Mixed materials,Judaica Americana,Folder,NYC 763,doc_ja_nyc_763_1r.tif; doc_ja_nyc_763_1v.tif
ref3889,cid4638175,Photographic images,Cartes-de-visite,"Cohen, Morris. New York, NY, Carte-de-visite of Morris J. Cohen and Frank E. Polk with their dogs",Carte-de-visite of Morris J. Cohen and Frank E. Polk with their dogs,"Cohen, Morris",,,"New York, NY",1897,Drawer,Mixed materials,Judaica Americana,Folder,NYC 765,doc_ja_nyc_765_1r.tif; doc_ja_nyc_765_1v.tif
ref3890,cid4638174,Photographic images,Cartes-de-visite,"Damrosch, Leopold. New York, NY, Bust view carte-de-visite of Leopold Damrosch (1832-1885). The image was taken by Falk",Bust view carte-de-visite of Leopold Damrosch (1832-1885). The image was taken by Falk,"Damrosch, Leopold",,,"New York, NY",1880,Drawer,Mixed materials,Judaica Americana,Folder,NYC 801,doc_ja_nyc_801_1r.tif; doc_ja_nyc_801_1v.tif
ref3891,cid4638173,Photographic images,Cartes-de-visite,"De Sola, Abraham. Montreal, Canada, Full bust carte-de-visite of Abraham De Sola in robes",Full bust carte-de-visite of Abraham De Sola in robes,"De Sola, Abraham",,,"Montreal, Canada",1875,Drawer,Mixed materials,International,Folder,8,doc_in_8_1r.tif; doc_in_8_1v.tif
