Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref4085,cid4637983,Printed works,Books,"Aasu. New York, NY, The Dying Jewess. Published by Mahon Day",The Dying Jewess. Published by Mahon Day,Aasu,,,"New York, NY",1835,Drawer,Mixed materials,Christian-Jewish Relations,Folder,11,doc_ja_cj_11_1r.tif; doc_ja_cj_11_1v.tif; doc_ja_cj_11_2r.tif; doc_ja_cj_11_2v.tif; doc_ja_cj_11_3r.tif; doc_ja_cj_11_3v.tif; doc_ja_cj_11_4r.tif; doc_ja_cj_11_4v.tif; doc_ja_cj_11_5r.tif; doc_ja_cj_11_5v.tif; doc_ja_cj_11_6r.tif; doc_ja_cj_11_6v.tif; doc_ja_cj_11_7r.tif; doc_ja_cj_11_7v.tif; doc_ja_cj_11_8r.tif; doc_ja_cj_11_8v.tif; doc_ja_cj_11_9r.tif; doc_ja_cj_11_9v.tif; doc_ja_cj_11_10r.tif; doc_ja_cj_11_10v.tif
ref4086,cid4637982,Printed works,Books,"Aasu. New York, NY, The young Jew: A history of Alfred Moritz Myers. Publication of the American Sunday School Union",The young Jew: A history of Alfred Moritz Myers. Publication of the American Sunday School Union,Aasu,,,"New York, NY",1848,Drawer,Mixed materials,Montefiore,Folder,17,doc_mnt_17_1r.tif; doc_mnt_17_1v.tif; doc_mnt_17_2r.tif; doc_mnt_17_2v.tif;  doc_mnt_17_3r.tif; doc_mnt_17_3v.tif; doc_mnt_17_4r.tif; doc_mnt_17_4v.tif; doc_mnt_17_5r.tif; doc_mnt_17_5v.tif; doc_mnt_17_6r.tif; doc_mnt_17_6v.tif; doc_mnt_17_7r.tif; doc_mnt_17_7v.tif; doc_mnt_17_8r.tif; doc_mnt_17_8v.tif; doc_mnt_17_9r.tif; doc_mnt_17_9v.tif; doc_mnt_17_10r.tif; doc_mnt_17_10v.tif; doc_mnt_17_11r.tif; doc_mnt_17_11v.tif; doc_mnt_17_12r.tif; doc_mnt_17_12v.tif; doc_mnt_17_13r.tif; doc_mnt_17_13v.tif; doc_mnt_17_14r.tif; doc_mnt_17_14v.tif; doc_mnt_17_15r.tif; doc_mnt_17_15v.tif; doc_mnt_17_16r.tif; doc_mnt_17_16v.tif; doc_mnt_17_17r.tif; doc_mnt_17_17v.tif; doc_mnt_17_18r.tif; doc_mnt_17_18v.tif; doc_mnt_17_19r.tif; doc_mnt_17_19v.tif; doc_mnt_17_20r.tif; doc_mnt_17_20v.tif; doc_mnt_17_21r.tif; doc_mnt_17_21v.tif; doc_mnt_17_22r.tif; doc_mnt_17_22v.tif; doc_mnt_17_23r.tif; doc_mnt_17_23v.tif; doc_mnt_17_24r.tif; doc_mnt_17_24v.tif; doc_mnt_17_25r.tif; doc_mnt_17_25v.tif; doc_mnt_17_26r.tif; doc_mnt_17_26v.tif; doc_mnt_17_27r.tif; doc_mnt_17_27v.tif; doc_mnt_17_28r.tif; doc_mnt_17_28v.tif; doc_mnt_17_29r.tif; doc_mnt_17_29v.tif; doc_mnt_17_30r.tif; doc_mnt_17_30v.tif; doc_mnt_17_31r.tif; doc_mnt_17_31v.tif; doc_mnt_17_32r.tif; doc_mnt_17_32v.tif; doc_mnt_17_33r.tif; doc_mnt_17_33v.tif; doc_mnt_17_34r.tif; doc_mnt_17_34v.tif; doc_mnt_17_35r.tif; doc_mnt_17_35v.tif; doc_mnt_17_36r.tif; doc_mnt_17_36v.tif; doc_mnt_17_37r.tif; doc_mnt_17_37v.tif; doc_mnt_17_38r.tif; doc_mnt_17_38v.tif; doc_mnt_17_39r.tif; doc_mnt_17_39v.tif; doc_mnt_17_40r.tif; doc_mnt_17_40v.tif; doc_mnt_17_41r.tif; doc_mnt_17_41v.tif; doc_mnt_17_42r.tif; doc_mnt_17_42v.tif;
ref4087,cid4637981,Printed works,Books,"Abrabanel, Solomon. London, England, The complaint of the children of Israel, representing their grievances under the penal laws; and praying, that if the tests are repealed, the jews may have the benefit of this indulgence in common with all other subjects of England. In a letter to a reverend high priest of the church by law established. Second edition. By Solomon Abrabanel, of the house of David. London: printed for J. Webb. 1736. Solomon Abrabanel is the pseudonym of William Arnall, a non-Jewish political writer","The complaint of the children of Israel, representing their grievances under the penal laws; and praying, that if the tests are repealed, the jews may have the benefit of this indulgence in common with all other subjects of England. In a letter to a reverend high priest of the church by law established. Second edition. By Solomon Abrabanel, of the house of David. London: printed for J. Webb. 1736. Solomon Abrabanel is the pseudonym of William Arnall, a non-Jewish political writer","Abrabanel, Solomon",,,"London, England",1736,Drawer,Mixed materials,International,Folder,3,doc_in_3_1r.tif; doc_in_3_1v.tif; doc_in_3_2r.tif; doc_in_3_2v.tif; doc_in_3_3r.tif; doc_in_3_3v.tif; doc_in_3_4r.tif; doc_in_3_4v.tif; doc_in_3_5r.tif; doc_in_3_5v.tif; doc_in_3_6r.tif; doc_in_3_6v.tif; doc_in_3_7r.tif; doc_in_3_7v.tif; doc_in_3_8r.tif; doc_in_3_8v.tif; doc_in_3_9r.tif; doc_in_3_9v.tif; doc_in_3_10r.tif; doc_in_3_10v.tif; doc_in_3_11r.tif; doc_in_3_11v.tif; doc_in_3_12r.tif; doc_in_3_12v.tif; doc_in_3_13r.tif; doc_in_3_13v.tif; doc_in_3_14r.tif; doc_in_3_14v.tif; doc_in_3_15r.tif; doc_in_3_15v.tif; doc_in_3_16r.tif; doc_in_3_16v.tif; doc_in_3_17r.tif; doc_in_3_17v.tif; doc_in_3_18r.tif; doc_in_3_18v.tif; doc_in_3_19r.tif; doc_in_3_19v.tif; doc_in_3_20r.tif; doc_in_3_20v.tif
ref4088,cid4637980,Printed works,Books,"Adler, Felix. New York, NY, Lecture denying that the Society for Ethical Culture stands for atheism",Lecture denying that the Society for Ethical Culture stands for atheism,"Adler, Felix",,,"New York, NY",1879 March 6,Drawer,Mixed materials,Judaica Americana,Folder,NYC 742,doc_ja_nyc_742_1r.tif; doc_ja_nyc_742_1v.tif; doc_ja_nyc_742_2r.tif; doc_ja_nyc_742_2v.tif; doc_ja_nyc_742_3r.tif; doc_ja_nyc_742_3v.tif; doc_ja_nyc_742_4r.tif; doc_ja_nyc_742_4v.tif; doc_ja_nyc_742_5r.tif; doc_ja_nyc_742_5v.tif; doc_ja_nyc_742_6r.tif; doc_ja_nyc_742_6v.tif; doc_ja_nyc_742_7r.tif; doc_ja_nyc_742_7v.tif; doc_ja_nyc_742_8r.tif; doc_ja_nyc_742_8v.tif; doc_ja_nyc_742_9r.tif; doc_ja_nyc_742_9v.tif; doc_ja_nyc_742_10r.tif; doc_ja_nyc_742_10v.tif; doc_ja_nyc_742_11r.tif; doc_ja_nyc_742_11v.tif; doc_ja_nyc_742_12r.tif; doc_ja_nyc_742_12v.tif
ref4089,cid4637979,Printed works,Books,"American Academy of Music. Philadelphia, PA, Historical sketch of the first Hebrew Sunday School in America",Historical sketch of the first Hebrew Sunday School in America,,,American Academy of Music,"Philadelphia, PA",1888 March 3,Drawer,Mixed materials,Judaica Americana,Folder,PHIL107,doc_ja_phil_107_1r.tif; doc_ja_phil_107_1v.tif; doc_ja_phil_107_2r.tif; doc_ja_phil_107_2v.tif; doc_ja_phil_107_3r.tif; doc_ja_phil_107_3v.tif; doc_ja_phil_107_4r.tif; doc_ja_phil_107_4v.tif; doc_ja_phil_107_5r.tif; doc_ja_phil_107_5v.tif
ref4090,cid4637978,Printed works,Books,"Belmont, August. New York, NY, List of ministers, consuls, and other diplomatic and commercial agents of United States","List of ministers, consuls, and other diplomatic and commercial agents of United States","Belmont, August",,,"New York, NY",1855 September 24,Drawer,Mixed materials,Revolutionary War,Folder,18,doc_rw_18_1r.tif; doc_rw_18_1v.tif; doc_rw_18_2r.tif; doc_rw_18_2v.tif; doc_rw_18_3r.tif; doc_rw_18_3v.tif; doc_rw_18_4r.tif; doc_rw_18_4v.tif; doc_rw_18_5r.tif; doc_rw_18_5v.tif; doc_rw_18_6r.tif; doc_rw_18_6v.tif; doc_rw_18_7r.tif; doc_rw_18_7v.tif; doc_rw_18_8r.tif; doc_rw_18_8v.tif; doc_rw_18_9r.tif; doc_rw_18_9v.tif; doc_rw_18_10r.tif; doc_rw_18_10v.tif; doc_rw_18_11r.tif; doc_rw_18_11v.tif
ref4091,cid4637977,Printed works,Books,"Benjamin, Judah P. Richmond, VA, Majority report of the committee on foreign affairs, in which Judah P. Benjamin gives his reort on foreign govermental representatives","Majority report of the committee on foreign affairs, in which Judah P. Benjamin gives his reort on foreign govermental representatives","Benjamin, Judah P.",,,"Richmond, VA",1863 September 15,Drawer,Mixed materials,Judah Benjamin,Folder,24,doc_jb_24_1r.tif; doc_jb_24_1v.tif; doc_jb_24_2r.tif; doc_jb_24_2v.tif; doc_jb_24_3r.tif; doc_jb_24_3v.tif; doc_jb_24_4r.tif; doc_jb_24_4v.tif
ref4092,cid4637976,Printed works,Books,"Benjamin, Judah P. Washington, DC, Extracts from the speech of Senator J.P. Benjamin, of Louisiana, on the Kansas question and his reasons for joining the Democratic party","Extracts from the speech of Senator J.P. Benjamin, of Louisiana, on the Kansas question and his reasons for joining the Democratic party","Benjamin, Judah P.",,,"Washington, DC",1856 May 2,Drawer,Mixed materials,Judah Benjamin,Folder,14,doc_jb_14_1r.tif; doc_jb_14_1v.tif; doc_jb_14_2r.tif; doc_jb_14_2v.tif; doc_jb_14_3r.tif; doc_jb_14_3v.tif; doc_jb_14_4r.tif; doc_jb_14_4v.tif
ref4093,cid4637975,Printed works,Books,"Benjamin, Judah P. Washington, DC, Extracts from the speech of the Honorable J.P. Benjamin, of Louisiana, on the meaning of the Kansas law, and his reasons for joining the Democratic party. Delivered in the U.S. Senate on May 2nd, 1856. Printed at the Union Office, Washington: 1856","Extracts from the speech of the Honorable J.P. Benjamin, of Louisiana, on the meaning of the Kansas law, and his reasons for joining the Democratic party. Delivered in the U.S. Senate on May 2nd, 1856. Printed at the Union Office, Washington: 1856","Benjamin, Judah P.",,,"Washington, DC",1856 May 2,Drawer,Mixed materials,Judah Benjamin,Folder,16,doc_jb_16_1r.tif; doc_jb_16_1v.tif; doc_jb_16_2r.tif; doc_jb_16_2v.tif; doc_jb_16_3r.tif; doc_jb_16_3v.tif; doc_jb_16_4r.tif; doc_jb_16_4v.tif;
ref4094,cid4637974,Printed works,Books,"Benjamin, Judah P. Washington, DC, Report on private land claims in New Mexico: 36th congress, 1st secession","Report on private land claims in New Mexico: 36th congress, 1st secession","Benjamin, Judah P.",,,"Washington, DC",1860 May 19,Drawer,Mixed materials,Judah Benjamin,Folder,18,doc_jb_18_1r.tif; doc_jb_18_1v.tif; doc_jb_18_2r.tif; doc_jb_18_2v.tif
